date,SMAcross-20/50(equal-wt),SMAcross-20/50(risk-adj),TopK-Momentum-30d/K10(equal-wt),TopK-Momentum-30d/K10(risk-adj),NDX100-EqualWeight-BH
2021-04-13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-04-14,1000000.0,1000000.0,1000000.0,1000000.0,991414.881248496
2021-04-15,1000000.0,1000000.0,1000000.0,1000000.0,1004102.4240517906
2021-04-16,1000000.0,1000000.0,1000000.0,1000000.0,1002906.0725557129
2021-04-19,1000000.0,1000000.0,1000000.0,1000000.0,990986.3539743526
2021-04-20,1000000.0,1000000.0,1000000.0,1000000.0,983887.3193677414
2021-04-21,1000000.0,1000000.0,1000000.0,1000000.0,995390.4387061046
2021-04-22,1000000.0,1000000.0,1000000.0,1000000.0,988394.0882117659
2021-04-23,1000000.0,1000000.0,1000000.0,1000000.0,999679.0136763883
2021-04-26,1000000.0,1000000.0,1000000.0,1000000.0,1007641.4086055552
2021-04-27,1000000.0,1000000.0,1000000.0,1000000.0,1005369.9916888122
2021-04-28,1000000.0,1000000.0,1000000.0,1000000.0,1001950.222309927
2021-04-29,1000000.0,1000000.0,1000000.0,1000000.0,1003635.3388417221
2021-04-30,1000000.0,1000000.0,1000000.0,1000000.0,992205.0856046908
2021-05-03,1000000.0,1000000.0,1000000.0,1000000.0,988942.4420721984
2021-05-04,1000000.0,1000000.0,1000000.0,1000000.0,975796.6747477069
2021-05-05,1000000.0,1000000.0,1000000.0,1000000.0,973792.1618850199
2021-05-06,1000000.0,1000000.0,1000000.0,1000000.0,974062.362630455
2021-05-07,1000000.0,1000000.0,1000000.0,1000000.0,984515.4539852203
2021-05-10,1000000.0,1000000.0,1000000.0,1000000.0,962351.3740942611
2021-05-11,1000000.0,1000000.0,1000000.0,1000000.0,963585.2346353454
2021-05-12,1000000.0,1000000.0,1000000.0,1000000.0,938152.7964057254
2021-05-13,1000000.0,1000000.0,1000000.0,1000000.0,942563.9356550233
2021-05-14,1000000.0,1000000.0,1000000.0,1000000.0,967393.7697088534
2021-05-17,1000000.0,1000000.0,1000000.0,1000000.0,963018.8056549801
2021-05-18,1000000.0,1000000.0,1000000.0,1000000.0,959326.3096446824
2021-05-19,1000000.0,1000000.0,1000000.0,1000000.0,961913.9658276298
2021-05-20,1000000.0,1000000.0,1000000.0,1000000.0,978752.1688970452
2021-05-21,1000000.0,1000000.0,1000000.0,1000000.0,975909.496080811
2021-05-24,1000000.0,1000000.0,1000000.0,1000000.0,988216.0652686718
2021-05-25,1000000.0,1000000.0,1000000.0,1000000.0,986322.8523486821
2021-05-26,1000000.0,1000000.0,1002776.8755246265,1000462.3688490688,991826.8793590347
2021-05-27,1000000.0,1000000.0,1000298.9282516249,995000.3075270939,993809.8539614596
2021-05-28,1000000.0,1000000.0,1007964.1763561544,1000205.8426445974,997569.4575288207
2021-06-01,1000000.0,1000000.0,1007779.407028464,1000803.4684055792,997197.0170948597
2021-06-02,1000000.0,1000000.0,1012948.9913528475,1004680.3313206176,999225.4468584548
2021-06-03,1000000.0,1000000.0,1006142.7170585621,1002235.5185226228,989556.4843325082
2021-06-04,1000000.0,1000000.0,1021075.2982729797,1014699.5859147923,1001349.0909241092
